date,latitude,longitude,tp
2021-02-05,10.5,82.5,-1.8626451e-09
2021-03-29,23.5,78.75,-1.8626451e-09
2021-08-24,12.0,68.75,0.00014088117
2021-09-18,32.25,70.5,-1.8626451e-09
2024-05-13,8.5,81.5,2.2109598e-05
2024-05-16,27.25,81.25,-1.8626451e-09
2022-09-16,11.5,69.75,3.6640093e-05
2024-05-31,9.0,83.0,1.2628734e-06
2020-03-03,12.25,75.75,3.790483e-05
2021-01-31,14.5,72.75,-1.8626451e-09
2022-08-16,30.25,69.5,1.2628734e-06
2023-09-27,10.5,71.5,5.1802024e-05
2024-08-04,13.25,72.75,0.00018762983
2022-03-09,22.0,86.5,-1.8626451e-09
2022-02-11,23.0,91.5,-1.8626451e-09
2021-12-19,33.0,72.0,-1.8626451e-09
2021-03-01,15.75,75.0,-1.8626451e-09
2023-04-30,19.0,71.25,1.7056242e-05
2021-11-07,24.0,84.5,-1.8626451e-09
2021-01-25,19.0,68.0,-1.8626451e-09
2021-01-23,21.75,69.75,-1.8626451e-09
2023-01-15,35.25,85.0,-1.8626451e-09
2021-03-27,18.5,84.5,-1.8626451e-09
2020-10-02,34.25,76.5,-1.8626451e-09
2023-05-24,24.5,81.5,-1.8626451e-09
2023-05-10,9.75,90.5,0.0014340859
2022-08-12,19.75,85.5,0.0028353222
2022-12-07,12.25,72.0,-1.8626451e-09
2021-08-06,20.25,81.75,0.0006709248
2020-10-25,19.75,81.5,-1.8626451e-09
2021-12-02,18.0,88.75,9.097159e-05
2022-07-10,11.25,79.75,-1.8626451e-09
2023-07-21,32.0,91.75,-1.8626451e-09
2022-06-10,22.0,72.0,-1.8626451e-09
2021-08-04,12.25,80.0,-1.8626451e-09
2020-03-14,9.5,80.0,-1.8626451e-09
2023-02-25,25.0,73.0,-1.8626451e-09
2023-04-16,35.25,77.75,1.8943101e-06
2020-02-26,14.75,94.25,-1.8626451e-09
2020-05-05,18.5,87.25,-1.8626451e-09
2024-06-08,30.25,68.75,0.00012761354
2023-11-30,16.5,82.5,6.314367e-07
2020-02-19,31.75,95.0,-1.8626451e-09
2020-04-21,17.0,68.0,-1.8626451e-09
2023-06-27,11.5,83.75,-1.8626451e-09
2020-12-06,22.25,78.75,-1.8626451e-09
2022-06-04,29.25,83.75,6.314367e-07
2023-06-20,35.0,74.5,-1.8626451e-09
2020-10-01,18.75,70.25,1.4528632e-05
2024-06-23,8.0,78.75,2.5257468e-06
2020-08-03,20.25,88.75,0.00034304336
2024-03-21,16.25,88.5,0.0004422292
2022-08-25,24.5,86.25,1.7687678e-05
2023-03-26,10.5,69.25,-1.8626451e-09
2020-10-06,17.0,90.25,1.8319115e-05
2022-06-08,11.75,80.0,-1.8626451e-09
2023-08-07,28.5,96.25,0.00026344135
2024-02-04,29.25,68.0,-1.8626451e-09
2020-08-26,22.5,69.0,0.00018257648
2023-12-28,27.75,78.25,-1.8626451e-09
2021-07-02,29.75,82.0,0.0008193869
2021-08-17,21.75,81.25,0.00010044873
2021-08-14,14.5,94.5,0.0018150359
2023-10-25,28.5,89.0,5.0533563e-06
2020-02-01,17.5,81.75,1.8943101e-06
2023-11-17,10.5,78.75,9.34992e-05
2022-11-06,26.25,91.75,-1.8626451e-09
2020-04-25,16.75,96.0,3.7886202e-06
2021-07-27,28.5,76.5,0.00029376522
2024-02-15,36.0,81.0,-1.8626451e-09
2021-10-08,26.0,81.75,-1.8626451e-09
2021-07-01,25.75,92.75,9.918399e-05
2023-01-26,18.25,88.5,-1.8626451e-09
2022-12-15,13.0,87.25,-1.8626451e-09
2020-03-27,27.0,77.0,6.9476664e-06
